WL,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110
1389.4604,93.8921,97.7123,99.4725,100.649,97.7583,98.5782,93.7583,99.4718,78.6354,95.7806,95.1783,97.5544,100.574,92.3841,64.5492,77.3846,97.5079,91.1128,100.287,95.4395,95.2198,104.71,99.6624,103.233,107.065,103.886,106.179,107.229,108.287,92.7951,94.7291,104.164,104.312,87.9243,86.7232,105.9,105.261,99.4956,102.694,104.586,100.83,102.19,102.592,103.273,103.058,94.0454,100.214,93.7138,94.3276,96.1087,96.4623,93.7101,95.6838,97.7031,97.3437,94.8327,96.4613,97.0389,96.3118,94.0652,96.8862,93.9622,95.7143,95.9579,116.574,105.359,105.851,115.436,113.252,109.548,115,115.422,113.346,115.565,115.582,114.662,113.132,94.3536,116.802,99.0641,95.8556,99.6297,99.5975,98.0219,99.2717,98.3822,97.9595,86.721,101.024,98.0374,95.1999,96.8174,89.4433,95.6582,95.502,95.7341,97.9137,98.0411,93.2568,96.9768,100.601,100.094,99.0135,98.5169,98.3265,99.246,97.1985,98.4086,100.56,100.064
1390.4247,93.9083,97.8072,99.5636,100.844,97.8881,98.7299,93.8532,99.61,79.0086,95.9814,95.5028,97.8085,100.875,92.6932,64.2577,77.4093,97.5081,91.2536,100.545,95.4934,95.2877,104.953,99.7033,103.172,107.069,103.878,106.161,107.265,108.342,92.655,94.8426,104.489,104.407,88.192,86.9451,106.078,105.612,99.6301,102.891,105.073,100.954,102.713,102.82,103.503,103.388,94.3476,100.471,93.897,94.324,96.143,96.5545,93.7301,95.7352,97.8371,97.4138,94.876,96.5691,97.143,96.3938,94.1151,96.9922,94.052,95.8274,96.0961,116.772,105.206,105.862,115.721,113.291,109.594,115.293,115.507,113.453,115.789,115.969,114.721,113.357,94.4726,116.868,99.0584,95.8384,99.7066,99.5847,98.0053,99.3605,98.4572,97.937,86.6524,101.059,97.988,95.2594,96.8142,89.3599,95.6721,95.5137,95.689,98.0024,98.0152,93.2354,96.9442,100.636,100.081,99.0507,98.4905,98.2981,99.2291,97.2004,98.5621,100.534,100.036
1391.3889,93.8458,97.7609,99.5036,100.843,97.8266,98.6689,93.7112,99.4861,79.1102,95.877,95.512,97.7194,100.804,92.6434,63.944,77.4015,97.4577,91.3051,100.689,95.4553,95.2676,105.113,99.6856,103.09,107.051,103.843,106.128,107.268,108.346,92.4648,94.786,104.584,104.326,88.2206,86.932,106.021,105.672,99.4963,102.819,105.203,100.795,102.832,102.719,103.397,103.353,94.295,100.349,93.7002,94.2801,96.1193,96.5639,93.6577,95.7004,97.8642,97.3843,94.8153,96.5636,97.1289,96.3587,94.0473,96.9714,94.0095,95.8047,96.0965,116.92,105.046,105.857,115.916,113.3,109.587,115.494,115.562,113.503,115.935,116.23,114.744,113.499,94.5505,116.9,99.0577,95.8231,99.7661,99.5758,97.9928,99.424,98.5118,97.9215,86.6066,101.089,97.936,95.3104,96.8013,89.2697,95.6773,95.5195,95.6397,98.0552,97.9936,93.2136,96.9108,100.658,100.075,99.0755,98.4631,98.2749,99.2097,97.1989,98.6663,100.516,100.019
1392.3531,93.6987,97.5671,99.2712,100.634,97.5605,98.3817,93.3015,99.0616,78.9398,95.4232,95.1801,97.2448,100.316,92.1942,63.5965,77.3696,97.358,91.2411,100.752,95.338,95.1324,105.222,99.5821,102.981,107.006,103.775,106.066,107.236,108.29,92.2153,94.5063,104.453,104.029,87.9484,86.6199,105.69,105.421,99.0282,102.436,104.969,100.29,102.548,102.241,102.905,102.912,93.843,99.794,93.0279,94.1862,96.0238,96.4786,93.4803,95.5486,97.7715,97.2356,94.6278,96.4143,96.9639,96.1803,93.8307,96.8038,93.7974,95.6082,95.9228,117.03,104.861,105.83,116.048,113.264,109.506,115.622,115.577,113.49,116.013,116.398,114.715,113.558,94.607,116.881,99.0595,95.8138,99.8179,99.5697,97.987,99.4782,98.5617,97.9173,86.5812,101.12,97.8864,95.3715,96.7899,89.1798,95.6707,95.5288,95.5839,98.093,97.9788,93.1979,96.8846,100.677,100.078,99.102,98.4449,98.2651,99.1963,97.2028,98.7552,100.512,100.021
1393.3174,93.4851,97.2586,98.8959,100.254,97.1334,97.9174,92.6622,98.3841,78.5548,94.673,94.5742,96.4538,99.4804,91.4176,63.2113,77.3215,97.2176,91.0464,100.753,95.1549,94.8746,105.295,99.3755,102.849,106.934,103.68,105.971,107.176,108.18,91.9132,93.9948,104.133,103.541,87.3721,86.0065,105.122,104.905,98.2459,101.788,104.428,99.4709,101.932,101.445,102.088,102.133,93.0464,98.8698,91.9038,94.0458,95.8613,96.304,93.2071,95.2783,97.5695,96.9793,94.3236,96.1271,96.6523,95.8697,93.4744,96.5073,93.4202,95.2442,95.5823,117.1,104.643,105.776,116.121,113.176,109.341,115.68,115.545,113.407,116.021,116.485,114.628,113.535,94.6488,116.805,99.0601,95.8113,99.8621,99.5629,97.9903,99.5277,98.6124,97.9286,86.574,101.158,97.8409,95.4594,96.7874,89.0943,95.6471,95.5487,95.5176,98.1266,97.9731,93.1927,96.8691,100.7,100.093,99.1378,98.445,98.2753,99.1961,97.2184,98.845,100.529,100.05
1394.2816,93.2482,96.9088,98.4616,99.7994,96.6479,97.3895,91.9043,97.5935,78.0722,93.782,93.8574,95.533,98.4973,90.5049,62.8008,77.2655,97.0561,90.7213,100.719,94.9361,94.5124,105.34,99.0629,102.708,106.848,103.567,105.855,107.102,108.041,91.5956,93.3017,103.717,102.959,86.5576,85.1641,104.442,104.255,97.2728,101.019,103.729,98.4803,101.152,100.504,101.123,101.202,92.0833,97.7741,90.4969,93.8793,95.6616,96.0744,92.8803,94.9281,97.3046,96.6665,93.9553,95.7537,96.2455,95.4862,93.0388,96.1463,92.9369,94.7751,95.1359,117.128,104.397,105.695,116.141,113.042,109.097,115.672,115.471,113.261,115.971,116.504,114.5,113.443,94.6769,116.683,99.0562,95.8134,99.8939,99.549,98.0007,99.5685,98.6588,97.9519,86.5774,101.2,97.7948,95.5748,96.7962,89.0146,95.5965,95.5798,95.4342,98.1589,97.9756,93.1953,96.8618,100.727,100.117,99.1811,98.4633,98.3032,99.2078,97.2436,98.9347,100.564,100.1
1395.2458,93.0503,96.622,98.0949,99.4127,96.2516,96.9588,91.1905,96.9005,77.656,92.9817,93.2686,94.7609,97.6666,89.7435,62.392,77.2114,96.9022,90.278,100.687,94.7323,94.0861,105.37,98.6535,102.58,106.766,103.46,105.742,107.04,107.917,91.3298,92.5329,103.354,102.444,85.6309,84.2311,103.857,103.684,96.3218,100.356,103.113,97.5616,100.476,99.6971,100.293,100.416,91.2472,96.8219,89.1045,93.7261,95.4794,95.8567,92.5762,94.5769,97.0616,96.3885,93.6176,95.3904,95.8427,95.1378,92.6356,95.8316,92.46,94.3204,94.6992,117.125,104.144,105.598,116.127,112.884,108.787,115.624,115.371,113.086,115.896,116.485,114.367,113.324,94.6916,116.55,99.0468,95.8144,99.9075,99.516,98.0088,99.5895,98.6851,97.9705,86.5731,101.229,97.7315,95.6901,96.8123,88.9371,95.5024,95.6137,95.3205,98.1857,97.9788,93.1905,96.8519,100.747,100.135,99.2176,98.4845,98.3307,99.2158,97.2618,99.0052,100.596,100.147
1396.2101,92.9475,96.4925,97.9159,99.2306,96.0785,96.771,90.6608,96.4989,77.4558,92.482,93.0332,94.3996,97.2758,89.407,62.0071,77.1665,96.7792,89.7218,100.699,94.5934,93.6305,105.396,98.1512,102.483,106.71,103.38,105.661,107.012,107.852,91.1851,91.7965,103.193,102.16,84.7107,83.3424,103.57,103.413,95.6001,100.027,102.829,96.9567,100.169,99.2961,99.8792,100.065,90.8339,96.3236,88.0176,93.6284,95.3718,95.7252,92.3734,94.3117,96.9333,96.2409,93.4087,95.1388,95.551,94.9399,92.3836,95.6789,92.1084,94.0078,94.3968,117.112,103.91,105.504,116.11,112.729,108.423,115.574,115.275,112.931,115.84,116.471,114.275,113.234,94.6946,116.45,99.0337,95.8069,99.9013,99.449,98.0008,99.5784,98.673,97.9595,86.5394,101.219,97.6279,95.7613,96.826,88.8521,95.3424,95.6372,95.1551,98.1975,97.9712,93.1539,96.8246,100.747,100.13,99.2272,98.4828,98.3317,99.1962,97.2493,99.0308,100.597,100.157
1397.1743,92.9585,96.555,97.9745,99.311,96.1782,96.8804,90.3535,96.4592,77.5291,92.3559,93.2448,94.555,97.4474,89.6097,61.644,77.1301,96.69,89.0391,100.768,94.5357,93.1476,105.421,97.5447,102.425,106.689,103.336,105.621,107.026,107.868,91.1912,91.1334,103.303,102.18,83.8305,82.5424,103.671,103.537,95.1838,100.131,102.988,96.7667,100.347,99.4157,99.9977,100.272,90.9734,96.409,87.3447,93.6069,95.3641,95.7162,92.3046,94.1741,96.9652,96.2671,93.3707,95.0444,95.4218,94.9477,92.3385,95.7411,91.9349,93.8977,94.289,117.104,103.706,105.423,116.115,112.596,107.997,115.554,115.207,112.827,115.838,116.496,114.249,113.214,94.6893,116.41,99.0202,95.7853,99.879,99.3388,97.9684,99.5315,98.6169,97.9035,86.4667,101.161,97.4725,95.7594,96.8272,88.7486,95.1,95.6427,94.919,98.188,97.9462,93.0658,96.7714,100.721,100.095,99.1994,98.4398,98.2915,99.1363,97.1931,99.0007,100.552,100.114
1398.1385,93.0563,96.7694,98.2283,99.6079,96.4936,97.2263,90.1993,96.7006,77.8149,92.516,93.8211,95.1297,98.083,90.2525,61.2824,77.0923,96.6172,88.2205,100.877,94.5349,92.6172,105.44,96.827,102.395,106.697,103.319,105.615,107.071,107.949,91.324,90.5116,103.632,102.454,82.9437,81.7825,104.086,103.985,94.9926,100.587,103.508,96.9077,100.919,99.9551,100.546,100.93,91.5652,96.9635,86.9764,93.6489,95.4361,95.8103,92.3415,94.1416,97.1311,96.4348,93.4693,95.0756,95.427,95.1257,92.4647,95.9783,91.9025,93.9539,94.3423,117.109,103.529,105.357,116.149,112.487,107.5,115.572,115.173,112.777,115.889,116.567,114.281,113.263,94.6795,116.427,99.0082,95.7486,99.8474,99.1901,97.9141,99.4589,98.5295,97.8082,86.365,101.064,97.2782,95.6902,96.8116,88.622,94.7799,95.6319,94.6126,98.1591,97.9063,92.926,96.6958,100.671,100.04,99.1412,98.3583,98.2175,99.0455,97.1029,98.9294,100.47,100.03
